city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount (R$)
Belo Horizonte,312,4,5,4,15,acept,not furnished,15000
São Paulo,160,3,4,3,4,acept,not furnished,2500
São Paulo,22,1,1,0,26,acept,not furnished,2000
São Paulo,400,4,4,3,1,acept,furnished,10000
São Paulo,45,1,2,1,11,acept,not furnished,2100
São Paulo,237,4,4,0,13,not acept,not furnished,8000
São Paulo,180,3,3,0,-,acept,not furnished,13000
São Paulo,30,1,1,0,2,not acept,not furnished,1805
São Paulo,13,1,1,0,2,acept,not furnished,2200
São Paulo,140,4,4,2,-,acept,furnished,6800
Belo Horizonte,62,2,1,1,3,acept,not furnished,1050
Rio de Janeiro,76,2,1,0,3,acept,not furnished,1000
São Paulo,220,3,4,4,15,acept,not furnished,4250
Campinas,143,3,3,2,6,acept,not furnished,3300
Campinas,44,2,1,0,2,acept,not furnished,650
São Paulo,90,3,2,1,10,acept,not furnished,1450
Belo Horizonte,190,4,3,3,10,acept,furnished,4800
São Paulo,79,2,3,1,14,acept,not furnished,3100
São Paulo,45,1,1,2,8,acept,not furnished,1800
Campinas,73,3,2,2,17,acept,not furnished,2400
São Paulo,168,3,4,5,7,acept,furnished,3600
São Paulo,95,3,2,3,20,not acept,not furnished,2500
Porto Alegre,180,2,2,1,4,acept,not furnished,2001
Porto Alegre,65,2,2,0,5,not acept,not furnished,1390
Belo Horizonte,110,4,2,0,-,acept,not furnished,1850
São Paulo,58,1,1,1,13,acept,furnished,4700
Belo Horizonte,15,1,1,0,-,acept,not furnished,665
São Paulo,213,4,3,5,-,acept,not furnished,3900
São Paulo,162,4,4,3,7,not acept,not furnished,5500
São Paulo,49,1,1,0,12,not acept,furnished,3800
São Paulo,32,1,1,0,2,acept,not furnished,1400
Belo Horizonte,78,3,2,2,16,acept,not furnished,2300
Porto Alegre,240,4,4,2,-,acept,not furnished,5000
Campinas,150,3,2,1,-,acept,not furnished,1320
Belo Horizonte,60,2,1,1,2,acept,not furnished,1200
Belo Horizonte,160,3,2,3,4,not acept,not furnished,3500
São Paulo,74,2,2,2,7,acept,not furnished,3400
São Paulo,280,4,4,8,-,acept,not furnished,7040
Porto Alegre,42,1,1,0,6,not acept,not furnished,850
Porto Alegre,102,3,2,5,-,acept,not furnished,2975
São Paulo,123,3,2,2,11,acept,not furnished,2174
Porto Alegre,50,2,1,1,-,acept,not furnished,1000
São Paulo,125,3,2,2,-,acept,not furnished,1700
Porto Alegre,240,3,2,4,-,acept,not furnished,5500
São Paulo,85,3,2,3,3,acept,furnished,1999
Belo Horizonte,260,4,5,4,5,acept,not furnished,15000
São Paulo,22,1,1,0,-,not acept,not furnished,870
São Paulo,278,3,2,1,11,acept,not furnished,7800
São Paulo,18,1,1,0,8,acept,not furnished,1130
Rio de Janeiro,196,3,4,1,11,acept,not furnished,5500
São Paulo,26,1,1,0,3,acept,not furnished,3500
São Paulo,100,4,2,2,-,acept,not furnished,3500
São Paulo,460,4,3,6,8,acept,not furnished,10000
São Paulo,189,4,3,2,5,not acept,furnished,6500
São Paulo,226,3,3,0,-,acept,furnished,6000
São Paulo,418,2,4,3,17,not acept,not furnished,6875
Campinas,660,5,5,4,-,acept,not furnished,5000
Campinas,120,1,2,1,-,acept,not furnished,1112
São Paulo,70,2,1,1,1,acept,not furnished,1100
São Paulo,400,10,5,8,-,acept,not furnished,10900
Campinas,82,3,3,2,4,acept,not furnished,1500
São Paulo,210,3,4,4,11,acept,furnished,15000
São Paulo,92,3,2,2,11,acept,not furnished,1900
Belo Horizonte,64,3,1,0,3,not acept,not furnished,1400
Porto Alegre,35,2,1,0,1,not acept,furnished,1350
São Paulo,120,2,2,2,-,acept,not furnished,2690
São Paulo,16,1,1,0,1,not acept,not furnished,1200
Porto Alegre,60,2,1,0,2,acept,not furnished,950
Campinas,223,3,5,2,2,acept,not furnished,3300
São Paulo,50,1,1,0,-,not acept,not furnished,800
Porto Alegre,30,1,1,0,5,acept,not furnished,940
São Paulo,111,2,2,1,14,not acept,not furnished,3500
São Paulo,290,4,3,2,1,not acept,furnished,7150
Campinas,80,3,1,1,1,acept,not furnished,1328
São Paulo,353,4,5,5,46,acept,not furnished,10000
São Paulo,55,2,1,1,18,acept,not furnished,1990
Campinas,49,2,1,1,1,acept,not furnished,1000
Rio de Janeiro,50,2,1,0,4,acept,not furnished,850
São Paulo,182,4,4,2,10,acept,not furnished,6000
São Paulo,42,1,1,1,9,acept,furnished,3800
São Paulo,500,5,7,5,22,acept,not furnished,14000
São Paulo,56,1,1,0,-,not acept,not furnished,1200
Rio de Janeiro,170,3,2,1,9,acept,not furnished,4600
São Paulo,160,3,3,2,8,acept,not furnished,5000
São Paulo,70,1,1,2,-,acept,not furnished,1300
Campinas,120,2,1,4,-,acept,not furnished,2400
Rio de Janeiro,65,2,1,1,3,acept,furnished,1650
São Paulo,300,4,4,6,7,not acept,furnished,5500
São Paulo,140,3,2,2,8,acept,furnished,12000
São Paulo,108,2,3,2,-,acept,not furnished,2100
Porto Alegre,220,3,3,4,-,acept,not furnished,2500
São Paulo,157,3,3,4,19,acept,not furnished,4900
São Paulo,101,3,4,2,5,acept,not furnished,3120
São Paulo,87,3,2,4,14,acept,not furnished,2000
Campinas,123,3,2,2,13,acept,not furnished,2000
São Paulo,67,1,2,1,12,acept,furnished,2479
São Paulo,200,3,3,8,-,acept,not furnished,4480
São Paulo,48,2,1,1,8,acept,not furnished,1720
Belo Horizonte,51,2,1,1,2,acept,not furnished,700
São Paulo,54,2,1,1,5,not acept,not furnished,1300
São Paulo,280,3,3,2,9,acept,furnished,5650
São Paulo,172,3,4,3,5,acept,furnished,7800
São Paulo,136,3,2,2,13,acept,furnished,15000
São Paulo,300,4,2,0,5,acept,not furnished,15000
São Paulo,26,1,1,0,6,acept,furnished,2300
Rio de Janeiro,52,1,1,0,2,acept,not furnished,1172
Rio de Janeiro,72,2,2,1,5,acept,not furnished,1200
Rio de Janeiro,240,3,3,1,8,acept,furnished,7000
São Paulo,100,3,2,6,-,acept,not furnished,7500
Rio de Janeiro,145,3,3,2,4,not acept,not furnished,11960
São Paulo,60,2,2,2,-,acept,not furnished,1950
Porto Alegre,260,2,2,1,3,acept,not furnished,2000
Belo Horizonte,28,1,1,0,-,not acept,furnished,1100
Campinas,25,1,1,0,3,not acept,not furnished,1000
São Paulo,45,2,1,1,9,acept,not furnished,1920
Belo Horizonte,115,3,2,2,3,acept,not furnished,1950
Porto Alegre,48,2,1,0,4,acept,not furnished,800
São Paulo,150,3,3,8,-,acept,not furnished,8000
São Paulo,160,4,3,2,-,acept,not furnished,3800
São Paulo,700,4,4,4,-,acept,not furnished,10000
São Paulo,340,4,6,4,11,not acept,not furnished,7650
Rio de Janeiro,25,1,1,0,3,acept,not furnished,1513
São Paulo,79,3,2,2,11,acept,not furnished,1290
São Paulo,35,1,1,1,2,acept,not furnished,1600
São Paulo,270,3,4,0,1,acept,not furnished,3500
São Paulo,156,3,4,3,7,not acept,not furnished,5000
São Paulo,50,1,1,1,8,acept,furnished,2800
São Paulo,60,1,1,2,2,not acept,not furnished,1900
São Paulo,140,3,4,3,18,acept,not furnished,4000
São Paulo,53,1,1,0,2,not acept,not furnished,1680
São Paulo,200,4,4,4,-,acept,not furnished,4220
Belo Horizonte,125,4,2,2,1,not acept,not furnished,2100
São Paulo,160,3,4,3,-,acept,furnished,9350
Campinas,300,4,5,3,9,acept,not furnished,9500
Belo Horizonte,175,3,3,2,4,acept,furnished,3700
Rio de Janeiro,158,3,2,2,14,acept,furnished,8000
Rio de Janeiro,110,3,2,1,4,acept,not furnished,2850
São Paulo,168,3,2,2,-,acept,not furnished,2500
São Paulo,120,3,1,2,-,not acept,not furnished,3500
Belo Horizonte,230,4,3,4,7,acept,furnished,15000
São Paulo,255,3,4,2,10,acept,furnished,6000
São Paulo,23,1,1,1,26,acept,not furnished,2300
São Paulo,120,3,2,1,1,not acept,not furnished,2500
São Paulo,45,1,1,2,8,acept,not furnished,1800
Belo Horizonte,154,3,2,1,1,acept,not furnished,2000
Rio de Janeiro,50,1,1,1,13,not acept,furnished,4520
Rio de Janeiro,104,3,2,2,4,acept,furnished,7000
São Paulo,50,2,1,1,9,acept,not furnished,2430
Porto Alegre,75,2,2,1,6,acept,not furnished,1400
São Paulo,145,3,2,1,2,acept,furnished,2000
São Paulo,211,3,5,3,12,acept,furnished,7000
São Paulo,30,1,1,0,2,not acept,not furnished,2060
Campinas,170,4,3,1,10,not acept,not furnished,3700
São Paulo,86,2,2,1,4,acept,not furnished,1900
Rio de Janeiro,230,3,4,3,10,acept,not furnished,3000
São Paulo,61,1,2,2,1,not acept,furnished,4000
São Paulo,383,4,4,5,11,not acept,not furnished,3004
São Paulo,210,3,3,0,-,acept,not furnished,5500
São Paulo,60,2,2,1,14,not acept,furnished,5650
São Paulo,213,4,6,4,1,acept,furnished,8500
Porto Alegre,93,2,2,3,6,acept,furnished,3900
São Paulo,50,1,1,1,20,not acept,furnished,5300
São Paulo,149,2,3,3,21,acept,not furnished,4500
São Paulo,410,4,5,5,1,acept,not furnished,20000
São Paulo,40,1,1,1,14,acept,furnished,3175
Rio de Janeiro,46,1,1,0,11,acept,furnished,1500
São Paulo,378,4,4,8,-,acept,furnished,10000
São Paulo,60,2,2,2,11,acept,furnished,3800
Rio de Janeiro,180,2,3,1,3,acept,furnished,8500
Belo Horizonte,70,2,2,2,1,not acept,not furnished,1450
São Paulo,68,2,1,1,9,acept,not furnished,2100
Rio de Janeiro,85,2,2,1,4,acept,not furnished,1800
Belo Horizonte,140,4,2,2,2,acept,not furnished,2281
Belo Horizonte,52,2,2,1,2,not acept,not furnished,1650
Porto Alegre,63,2,2,0,7,not acept,furnished,2600
São Paulo,65,2,2,2,13,acept,furnished,3300
Belo Horizonte,60,3,1,1,1,acept,not furnished,950
Belo Horizonte,27,1,1,0,2,not acept,not furnished,1167
São Paulo,260,4,4,3,11,not acept,not furnished,15000
São Paulo,44,1,1,1,13,acept,not furnished,1200
São Paulo,170,3,3,2,-,acept,not furnished,4850
São Paulo,118,3,2,1,11,not acept,not furnished,4775
São Paulo,114,3,2,2,9,acept,not furnished,3780
Belo Horizonte,154,4,2,2,2,acept,not furnished,2800
Rio de Janeiro,108,3,1,1,3,not acept,furnished,15000
São Paulo,147,3,2,2,4,acept,furnished,3600
São Paulo,365,3,4,3,15,acept,not furnished,12000
Porto Alegre,109,3,2,1,2,acept,furnished,2423
Belo Horizonte,148,3,3,2,3,acept,furnished,2500
São Paulo,250,3,4,2,-,acept,not furnished,6000
Campinas,79,2,1,1,3,not acept,not furnished,1000
Rio de Janeiro,66,2,1,1,9,acept,not furnished,2400
Campinas,54,1,1,1,6,not acept,not furnished,1370
Campinas,87,3,1,1,6,acept,not furnished,1200
São Paulo,640,4,4,4,12,acept,furnished,10200
São Paulo,71,2,1,0,3,acept,furnished,1040
São Paulo,35,1,1,1,6,not acept,furnished,1250
São Paulo,57,2,2,1,2,not acept,furnished,2300
São Paulo,38,1,1,0,8,not acept,not furnished,1220
Rio de Janeiro,70,2,2,1,3,acept,not furnished,3700
São Paulo,350,2,4,8,-,not acept,not furnished,3300
Rio de Janeiro,300,4,3,2,5,not acept,furnished,12000
Porto Alegre,80,2,2,0,8,acept,not furnished,1320
Rio de Janeiro,160,3,3,1,4,acept,not furnished,2900
Porto Alegre,117,3,2,2,10,acept,not furnished,5500
Porto Alegre,112,3,2,2,3,acept,furnished,4100
Rio de Janeiro,100,2,2,1,-,acept,not furnished,1870
Rio de Janeiro,160,4,2,1,2,acept,not furnished,4230
Porto Alegre,68,2,1,0,3,acept,not furnished,700
São Paulo,530,4,4,4,4,not acept,not furnished,5000
São Paulo,210,3,2,2,-,acept,furnished,3500
Rio de Janeiro,33,1,1,0,8,not acept,furnished,3300
São Paulo,40,2,1,0,3,acept,not furnished,1100
Belo Horizonte,200,5,5,8,-,acept,not furnished,6000
São Paulo,58,2,1,2,10,acept,not furnished,1360
São Paulo,120,3,3,2,6,acept,not furnished,3400
São Paulo,162,3,4,0,-,acept,not furnished,3200
São Paulo,301,4,5,4,3,acept,furnished,12500
São Paulo,40,1,1,0,1,not acept,not furnished,1800
Rio de Janeiro,45,1,1,0,5,acept,not furnished,1000
Rio de Janeiro,135,3,2,1,2,acept,not furnished,3060
São Paulo,135,3,2,1,4,acept,not furnished,3290
Porto Alegre,102,3,2,2,8,acept,furnished,5525
São Paulo,76,2,2,2,6,acept,not furnished,1400
São Paulo,180,4,1,1,13,acept,not furnished,8500
Belo Horizonte,72,2,2,1,-,acept,not furnished,1250
São Paulo,128,2,3,1,4,acept,not furnished,4339
Campinas,60,3,2,0,2,acept,not furnished,2362
São Paulo,44,1,1,0,4,acept,furnished,2500
São Paulo,189,3,3,1,12,acept,not furnished,5800
Porto Alegre,450,6,2,8,-,acept,not furnished,4000
São Paulo,286,4,4,5,-,acept,not furnished,10800
São Paulo,276,4,6,4,10,acept,furnished,4500
São Paulo,60,1,2,1,9,not acept,furnished,3800
São Paulo,40,1,1,0,-,not acept,not furnished,880
Rio de Janeiro,57,2,2,1,4,acept,not furnished,1800
Campinas,45,1,1,1,3,acept,not furnished,600
São Paulo,42,1,1,1,12,not acept,furnished,3500
Rio de Janeiro,68,2,1,1,2,acept,not furnished,1100
Rio de Janeiro,120,3,2,1,4,acept,not furnished,4800
São Paulo,360,4,4,2,4,acept,not furnished,11050
São Paulo,140,2,1,0,-,acept,not furnished,1650
São Paulo,35,1,1,0,-,acept,not furnished,1100
São Paulo,16,1,1,0,1,not acept,not furnished,910
Campinas,110,3,1,1,13,acept,not furnished,1100
Campinas,69,2,1,1,7,not acept,not furnished,980
Belo Horizonte,59,2,2,0,2,not acept,furnished,1400
São Paulo,336,4,4,6,-,acept,not furnished,7677
São Paulo,210,4,4,3,5,acept,furnished,5000
São Paulo,242,4,5,4,4,acept,furnished,12000
Porto Alegre,28,1,1,0,4,acept,not furnished,550
São Paulo,220,4,3,3,2,not acept,furnished,9000
Porto Alegre,62,3,2,1,1,not acept,not furnished,1629
Rio de Janeiro,111,3,2,2,11,acept,furnished,3500
Campinas,159,3,2,2,1,acept,not furnished,2500
Rio de Janeiro,70,2,2,0,5,acept,furnished,2250
São Paulo,150,3,2,2,2,acept,not furnished,2000
São Paulo,50,1,1,1,17,acept,furnished,4000
São Paulo,450,3,3,8,-,acept,furnished,5015
Belo Horizonte,64,2,1,1,2,acept,not furnished,850
São Paulo,600,5,7,5,-,acept,not furnished,5200
São Paulo,70,1,1,0,8,acept,not furnished,3200
São Paulo,76,3,2,0,6,acept,not furnished,1240
São Paulo,280,3,3,4,-,acept,not furnished,6520
São Paulo,172,2,4,3,23,acept,not furnished,11000
São Paulo,246,3,4,4,3,acept,furnished,12000
São Paulo,64,2,1,1,8,acept,not furnished,1500
Belo Horizonte,30,1,1,0,2,not acept,not furnished,550
São Paulo,80,3,2,1,-,acept,not furnished,2170
Rio de Janeiro,87,3,1,1,7,acept,not furnished,1800
Porto Alegre,50,1,1,1,7,acept,not furnished,800
Porto Alegre,50,1,1,0,6,acept,not furnished,800
São Paulo,30,1,1,0,-,not acept,not furnished,1850
São Paulo,43,1,1,0,6,acept,not furnished,1472
São Paulo,300,3,4,0,-,acept,furnished,10000
Campinas,58,1,2,1,10,not acept,not furnished,750
São Paulo,30,1,1,1,14,not acept,not furnished,1660
São Paulo,54,2,1,0,2,not acept,not furnished,1700
Rio de Janeiro,80,2,2,1,2,not acept,not furnished,3500
Porto Alegre,62,2,2,1,10,acept,not furnished,1600
Porto Alegre,66,2,2,0,3,acept,not furnished,1200
São Paulo,80,2,2,1,2,acept,not furnished,1500
São Paulo,560,4,4,7,2,acept,not furnished,15000
São Paulo,30,1,1,1,5,acept,furnished,3900
São Paulo,50,1,1,0,-,acept,not furnished,1600
Rio de Janeiro,81,2,2,1,8,acept,furnished,3500
São Paulo,218,4,4,4,3,not acept,not furnished,4930
Campinas,54,2,1,2,6,acept,not furnished,1200
Rio de Janeiro,60,2,1,0,-,not acept,not furnished,1200
Belo Horizonte,100,3,1,1,2,acept,not furnished,1200
São Paulo,156,2,3,2,8,acept,furnished,13590
São Paulo,300,3,4,3,1,acept,furnished,4000
São Paulo,39,1,1,1,3,not acept,furnished,2500
São Paulo,150,4,3,4,-,acept,not furnished,3000
São Paulo,140,2,3,4,10,acept,furnished,6170
São Paulo,240,4,4,3,1,acept,not furnished,4200
São Paulo,70,2,1,0,-,acept,not furnished,1300
Campinas,462,4,7,4,-,acept,not furnished,5000
Campinas,67,3,1,1,1,not acept,not furnished,890
Belo Horizonte,100,2,1,0,-,acept,not furnished,1200
Belo Horizonte,113,3,3,1,1,acept,not furnished,1100
São Paulo,99,3,2,1,3,acept,not furnished,2500
São Paulo,120,2,1,1,-,acept,not furnished,2100
São Paulo,110,3,2,3,-,acept,not furnished,2600
Porto Alegre,38,1,1,1,5,acept,not furnished,980
Campinas,100,3,1,1,7,acept,not furnished,1090
Rio de Janeiro,135,4,2,2,7,acept,not furnished,4200
Rio de Janeiro,130,3,2,1,10,acept,furnished,3250
Belo Horizonte,80,3,2,1,1,acept,not furnished,1200
São Paulo,300,3,2,5,-,acept,not furnished,11500
Belo Horizonte,72,2,1,2,4,not acept,not furnished,1300
São Paulo,70,3,2,2,3,acept,not furnished,1659
São Paulo,395,4,4,3,16,acept,furnished,15000
Porto Alegre,540,6,8,3,-,acept,not furnished,15000
São Paulo,318,4,6,4,13,acept,furnished,10160
Belo Horizonte,42,2,1,1,5,acept,not furnished,900
Rio de Janeiro,52,1,1,1,1,acept,not furnished,1400
São Paulo,167,3,2,1,7,acept,not furnished,10850
São Paulo,50,1,1,0,6,not acept,not furnished,1209
Campinas,65,2,2,1,4,not acept,not furnished,1000
São Paulo,140,4,4,3,5,acept,not furnished,3600
São Paulo,92,3,1,1,3,acept,not furnished,1600
Belo Horizonte,150,4,3,3,5,not acept,not furnished,3300
Campinas,60,1,1,0,3,acept,not furnished,1300
Belo Horizonte,308,4,5,6,18,acept,furnished,13500
São Paulo,159,2,3,1,8,not acept,furnished,3230
São Paulo,240,3,5,4,-,acept,not furnished,7500
Porto Alegre,65,3,2,0,5,not acept,not furnished,1690
São Paulo,200,3,2,2,-,acept,not furnished,5000
Campinas,130,3,5,2,2,acept,not furnished,3610
Rio de Janeiro,21,1,1,0,11,acept,not furnished,1200
São Paulo,68,2,1,1,5,acept,not furnished,1600
Porto Alegre,40,1,1,0,4,acept,not furnished,900
Belo Horizonte,310,4,3,6,-,acept,not furnished,3100
Campinas,103,2,1,1,4,not acept,not furnished,1060
Rio de Janeiro,650,5,7,4,-,acept,furnished,15000
Campinas,30,1,1,0,5,not acept,furnished,500
Belo Horizonte,155,4,5,3,5,not acept,not furnished,5000
São Paulo,107,2,2,1,-,acept,not furnished,2600
São Paulo,340,4,5,5,16,acept,furnished,12000
Belo Horizonte,70,3,1,0,3,not acept,not furnished,1200
Belo Horizonte,58,2,2,1,4,acept,not furnished,950
São Paulo,70,3,2,1,6,not acept,furnished,3300
São Paulo,240,3,3,0,-,acept,not furnished,4300
Rio de Janeiro,130,3,2,1,5,acept,not furnished,2800
São Paulo,310,5,6,5,5,acept,not furnished,10000
Rio de Janeiro,60,1,1,1,10,acept,not furnished,1300
São Paulo,319,4,6,5,16,not acept,not furnished,10050
Porto Alegre,81,2,1,0,2,acept,not furnished,1150
Belo Horizonte,306,3,5,0,-,acept,not furnished,8000
São Paulo,113,2,2,1,6,acept,not furnished,3000
São Paulo,280,3,4,2,3,not acept,not furnished,6000
São Paulo,270,3,3,3,16,acept,not furnished,13000
São Paulo,78,2,1,1,7,acept,not furnished,2000
São Paulo,60,1,2,1,-,acept,not furnished,1500
São Paulo,30,1,1,0,-,acept,not furnished,750
Rio de Janeiro,58,2,1,1,10,acept,not furnished,800
Rio de Janeiro,65,1,1,0,2,acept,not furnished,1800
São Paulo,58,1,1,1,1,not acept,not furnished,1740
São Paulo,22,1,1,0,25,acept,not furnished,2100
São Paulo,32,1,1,1,13,not acept,furnished,3200
Campinas,176,3,5,3,3,acept,not furnished,5200
Belo Horizonte,350,7,5,4,-,acept,not furnished,7500
São Paulo,260,4,4,2,5,acept,furnished,4400
São Paulo,100,2,1,0,-,acept,not furnished,2300
Rio de Janeiro,65,1,1,0,10,not acept,furnished,3500
Rio de Janeiro,600,7,6,1,12,not acept,furnished,15000
Rio de Janeiro,300,4,3,1,-,acept,not furnished,5000
São Paulo,430,4,3,4,-,acept,not furnished,8500
São Paulo,260,5,5,4,20,not acept,not furnished,8000
Belo Horizonte,211,3,4,3,-,not acept,not furnished,8400
Campinas,103,3,2,1,9,not acept,not furnished,1800
Porto Alegre,62,2,2,0,2,acept,not furnished,1556
Rio de Janeiro,80,2,2,1,1,acept,furnished,3499
São Paulo,60,1,1,1,-,not acept,not furnished,1180
São Paulo,27,1,1,0,5,not acept,not furnished,3500
São Paulo,486,4,6,5,8,not acept,not furnished,4861
São Paulo,40,1,1,1,12,acept,furnished,1680
Rio de Janeiro,60,2,1,0,7,acept,furnished,2800
Rio de Janeiro,64,2,2,0,10,acept,not furnished,2200
Campinas,660,5,7,4,17,acept,not furnished,10000
São Paulo,62,3,2,1,5,acept,not furnished,2400
Porto Alegre,50,2,1,1,3,acept,not furnished,946
São Paulo,380,3,4,4,-,acept,not furnished,8000
Campinas,134,3,3,2,7,not acept,not furnished,2500
São Paulo,74,2,2,0,4,acept,furnished,3600
Belo Horizonte,68,2,2,1,5,acept,furnished,2500
Rio de Janeiro,33,1,1,0,2,acept,not furnished,1600
São Paulo,60,2,1,0,-,acept,not furnished,1100
São Paulo,50,1,1,1,25,not acept,furnished,3700
São Paulo,57,2,2,2,6,acept,not furnished,1630
São Paulo,39,1,1,1,4,acept,not furnished,995
Porto Alegre,45,1,1,1,1,not acept,not furnished,760
São Paulo,221,3,2,2,7,acept,not furnished,4500
São Paulo,140,3,2,0,8,acept,furnished,1799
Rio de Janeiro,650,5,4,2,9,acept,not furnished,9000
São Paulo,210,5,4,1,-,acept,not furnished,15000
Belo Horizonte,100,4,2,3,10,acept,not furnished,2600
Rio de Janeiro,220,3,3,2,4,acept,furnished,9000
São Paulo,42,1,1,0,1,acept,not furnished,1150
Rio de Janeiro,98,3,2,0,7,acept,not furnished,3000
Rio de Janeiro,150,3,1,2,2,acept,not furnished,5200
São Paulo,170,3,3,4,-,acept,not furnished,3500
São Paulo,60,2,1,0,-,acept,not furnished,1610
São Paulo,120,3,4,2,-,acept,not furnished,3450
São Paulo,142,2,3,2,18,acept,not furnished,3550
Porto Alegre,90,2,2,1,18,not acept,not furnished,2500
São Paulo,140,3,3,2,3,acept,not furnished,6000
Rio de Janeiro,26,1,1,0,3,acept,not furnished,1200
São Paulo,20,1,1,0,-,not acept,not furnished,790
Porto Alegre,24,1,1,1,-,not acept,not furnished,550
Rio de Janeiro,140,3,2,0,5,acept,not furnished,2900
Belo Horizonte,134,4,2,3,1,not acept,not furnished,3000
São Paulo,400,5,4,2,12,acept,not furnished,2000
Rio de Janeiro,18,1,1,0,3,acept,not furnished,650
Rio de Janeiro,62,1,1,1,8,acept,not furnished,2800
São Paulo,192,3,3,3,16,acept,furnished,6500
São Paulo,80,3,2,1,6,acept,not furnished,1790
Porto Alegre,38,1,1,1,9,acept,not furnished,2900
Belo Horizonte,112,2,3,2,10,acept,not furnished,1400
Rio de Janeiro,15,1,1,0,1,not acept,not furnished,1100
São Paulo,29,1,1,0,5,acept,not furnished,1043
Belo Horizonte,55,2,1,1,1,acept,not furnished,1050
São Paulo,88,3,1,2,5,acept,not furnished,2500
São Paulo,100,4,1,0,-,acept,not furnished,1600
Belo Horizonte,92,3,2,1,1,acept,not furnished,1800
Rio de Janeiro,154,4,2,2,2,acept,not furnished,4250
São Paulo,240,4,3,3,6,acept,not furnished,12000
Porto Alegre,28,1,1,0,1,acept,furnished,1340
São Paulo,50,1,1,0,-,not acept,not furnished,1250
São Paulo,180,3,3,2,4,acept,not furnished,8000
São Paulo,35,1,1,0,3,not acept,not furnished,850
Rio de Janeiro,64,2,1,1,2,acept,not furnished,3500
São Paulo,60,2,1,1,8,acept,not furnished,1310
São Paulo,239,4,4,3,-,acept,furnished,5950
São Paulo,130,3,2,1,10,not acept,furnished,2300
Campinas,85,2,2,0,6,not acept,not furnished,918
Rio de Janeiro,75,2,2,1,9,acept,furnished,2000
São Paulo,90,2,2,1,-,acept,not furnished,1800
Belo Horizonte,100,3,1,1,2,acept,not furnished,1500
São Paulo,70,2,2,1,1,not acept,not furnished,1450
Rio de Janeiro,86,3,1,0,3,acept,not furnished,1258
Rio de Janeiro,29,1,1,0,2,acept,not furnished,1500
Porto Alegre,82,2,2,1,5,acept,not furnished,1700
São Paulo,55,2,1,1,5,acept,not furnished,1625
Porto Alegre,47,1,1,1,1,not acept,furnished,2200
São Paulo,33,1,1,0,15,not acept,not furnished,4000
Campinas,50,1,1,1,11,not acept,not furnished,1800
São Paulo,159,4,2,0,3,acept,not furnished,1900
Belo Horizonte,62,3,2,1,4,not acept,not furnished,1100
São Paulo,80,2,1,2,-,acept,not furnished,1569
São Paulo,170,3,4,3,21,acept,not furnished,5000
Porto Alegre,68,2,2,1,1,acept,not furnished,1800
São Paulo,300,4,4,3,-,acept,furnished,5080
Porto Alegre,50,2,1,1,2,acept,not furnished,1460
Rio de Janeiro,80,2,2,1,10,acept,not furnished,2000
Porto Alegre,40,2,1,1,3,acept,not furnished,820
São Paulo,270,3,4,2,6,acept,not furnished,6500
Porto Alegre,75,3,1,1,1,acept,not furnished,1100
Porto Alegre,60,1,2,2,15,acept,not furnished,2800
São Paulo,300,4,5,4,1,acept,not furnished,7500
Belo Horizonte,73,2,1,2,1,acept,not furnished,1200
Belo Horizonte,85,2,1,1,1,acept,not furnished,1000
São Paulo,100,3,3,1,-,acept,not furnished,2400
Porto Alegre,49,1,1,0,7,acept,not furnished,680
São Paulo,35,1,1,0,5,acept,furnished,1800
São Paulo,240,3,4,1,6,not acept,not furnished,14850
São Paulo,45,1,1,0,-,acept,not furnished,900
São Paulo,55,2,1,1,9,acept,furnished,2800
São Paulo,305,4,3,4,6,acept,furnished,11000
Belo Horizonte,622,5,5,6,-,acept,not furnished,10000
Belo Horizonte,55,2,1,1,2,not acept,not furnished,1200
Rio de Janeiro,42,1,1,0,12,acept,furnished,2300
Belo Horizonte,132,3,3,2,2,acept,not furnished,1500
Belo Horizonte,53,2,1,0,6,acept,not furnished,850
São Paulo,998,7,10,4,-,acept,furnished,15000
São Paulo,22,1,1,0,4,not acept,furnished,2410
Rio de Janeiro,35,1,1,0,12,acept,not furnished,850
São Paulo,189,4,2,2,4,acept,not furnished,8000
São Paulo,375,4,5,3,-,acept,furnished,9000
São Paulo,65,2,1,1,3,acept,not furnished,1400
São Paulo,462,4,6,4,-,acept,furnished,8000
São Paulo,150,2,1,0,1,acept,not furnished,2285
Campinas,350,2,2,2,-,acept,not furnished,4300
São Paulo,260,4,5,4,15,acept,furnished,7500
Porto Alegre,61,1,1,0,-,acept,not furnished,1100
São Paulo,175,4,3,2,-,acept,not furnished,2890
Porto Alegre,70,2,1,0,-,acept,furnished,1800
Rio de Janeiro,60,2,1,1,10,acept,furnished,1500
Campinas,296,6,4,8,-,acept,not furnished,5200
Rio de Janeiro,96,2,2,1,10,not acept,furnished,2900
São Paulo,150,4,2,3,2,acept,not furnished,7377
São Paulo,375,4,4,3,-,acept,not furnished,6400
Campinas,70,3,1,1,1,acept,not furnished,1500
São Paulo,127,4,3,2,4,acept,not furnished,4930
Belo Horizonte,67,2,2,2,3,not acept,not furnished,2800
São Paulo,50,1,2,1,1,not acept,furnished,3300
Rio de Janeiro,56,2,1,0,4,acept,not furnished,1500
São Paulo,55,2,1,1,19,acept,furnished,2100
